symbol,entry_time,entry_price,pnl_pct,exit_candles,exit_reason,range_position,distribution_score,entry_reason
ETH/USDT,604,3133.27,0.038502147915755784,30,TIMEOUT_PROFIT,0.814796488427773,90,"upper_zone(0.81),near_top,ema_bear,rsi_bear"
ETH/USDT,608,3124.51,0.030386884663515273,30,TIMEOUT_PROFIT,0.8122885129118438,80,"upper_zone(0.81),near_top,ema_bear"
ETH/USDT,633,3125.39,0.125,29,TP4_HIT,0.8687654933068913,80,"upper_zone(0.87),near_top,ema_bear"
ETH/USDT,637,3296.92,0.125,24,TP4_HIT,0.9781504731565636,80,"upper_zone(0.98),near_top,ema_bear"
ETH/USDT,645,3354.78,0.125,16,TP4_HIT,0.9038042731856624,90,"upper_zone(0.90),near_top,ema_bear,vol_spike"
ETH/USDT,649,3284.4,0.125,13,TP4_HIT,0.753544818476399,60,"upper_zone(0.75),near_top"
ETH/USDT,688,2027.72,0.024768705738464902,30,TIMEOUT_PROFIT,0.6484352894573034,70,"upper_zone(0.65),ema_bear,rsi_bear"
ETH/USDT,694,2127.09,0.06642919434532629,25,END_OF_DATA,0.8184649111880624,90,"upper_zone(0.82),near_top,ema_bear,vol_spike"
ETH/USDT,701,2052.14,0.023448692584326553,18,END_OF_DATA,0.6317480879898355,70,"upper_zone(0.63),ema_bear,rsi_bear"
ETH/USDT,705,2178.53,0.07257835558840142,14,END_OF_DATA,0.923514400291652,80,"upper_zone(0.92),near_top,ema_bear"
BNB/USDT,221,622.76,0.0,30,TIMEOUT_LOSS,0.6390188801032759,40,upper_zone(0.64)
BNB/USDT,226,621.88,0.0,30,TIMEOUT_LOSS,0.6319186703243506,40,upper_zone(0.63)
BNB/USDT,233,654.07,0.0125,30,TIMEOUT_LOSS,0.6439801624986821,40,upper_zone(0.64)
BNB/USDT,238,735.4,0.08489597497960295,30,TIMEOUT_PROFIT,0.9110456930756433,70,"upper_zone(0.91),near_top,vol_spike"
BNB/USDT,242,749.68,0.08169285561839718,30,TIMEOUT_PROFIT,0.7794585987261144,40,upper_zone(0.78)
BNB/USDT,250,718.98,0.051429455617680586,30,TIMEOUT_PROFIT,0.6132192204578265,40,upper_zone(0.61)
BNB/USDT,260,702.6,0.03614432109308281,30,TIMEOUT_PROFIT,0.6058579644242346,40,upper_zone(0.61)
BNB/USDT,264,694.79,0.04874836281466334,30,TIMEOUT_PROFIT,0.6612091685967569,40,upper_zone(0.66)
BNB/USDT,268,706.29,0.06920475300513951,30,TIMEOUT_PROFIT,0.7530548678220584,60,"upper_zone(0.75),near_top"
BNB/USDT,273,697.72,0.125,27,TP4_HIT,0.6424342351794953,60,"upper_zone(0.64),rsi_bear,vol_spike"
BNB/USDT,308,642.05,0.125,28,TP4_HIT,0.7204603709101874,60,"upper_zone(0.72),rsi_bear,vol_spike"
BNB/USDT,312,662.03,0.125,23,TP4_HIT,0.6982898674647283,40,upper_zone(0.70)
BNB/USDT,316,653.45,0.125,20,TP4_HIT,0.6616075245831553,40,upper_zone(0.66)
BNB/USDT,340,619.82,0.08923800458197545,30,TIMEOUT_PROFIT,0.7398129374059784,60,"upper_zone(0.74),ema_bear"
BNB/USDT,344,618.28,0.08566668823186907,30,TIMEOUT_PROFIT,0.8117133503092033,80,"upper_zone(0.81),near_top,ema_bear"
BNB/USDT,348,623.6,0.07712475946119311,30,TIMEOUT_PROFIT,0.8504183339396147,80,"upper_zone(0.85),near_top,ema_bear"
BNB/USDT,352,637.03,0.08662818077641557,30,TIMEOUT_PROFIT,0.9427083333333328,90,"upper_zone(0.94),near_top,ema_bear,vol_spike"
BNB/USDT,356,605.05,0.04192112222130395,30,TIMEOUT_PROFIT,0.6029455667230561,70,"upper_zone(0.60),ema_bear,rsi_bear"
BNB/USDT,368,597.48,0.0,30,TIMEOUT_LOSS,0.6292275247988753,60,"upper_zone(0.63),ema_bear"
BNB/USDT,373,590.5,0.0,30,TIMEOUT_LOSS,0.6894031668696714,70,"upper_zone(0.69),ema_bear,rsi_bear"
BNB/USDT,377,597.1,0.0,30,TIMEOUT_LOSS,0.8384398201401241,80,"upper_zone(0.84),near_top,ema_bear"
BNB/USDT,381,600.2,0.0,30,TIMEOUT_LOSS,0.8079161816065197,80,"upper_zone(0.81),near_top,ema_bear"
BNB/USDT,385,601.0,0.0,30,TIMEOUT_LOSS,0.645786726323639,80,"upper_zone(0.65),near_top,ema_bear"
BNB/USDT,396,664.1,0.010918912814335217,30,TIMEOUT_PROFIT,0.8404588112617314,70,"upper_zone(0.84),near_top,vol_spike"
BNB/USDT,400,652.5,0.0,30,TIMEOUT_LOSS,0.6284153005464483,40,upper_zone(0.63)
BNB/USDT,404,651.6,0.005678330263965693,30,TIMEOUT_PROFIT,0.6202185792349731,40,upper_zone(0.62)
BNB/USDT,408,686.4,0.0753277972027972,30,TIMEOUT_PROFIT,0.9371584699453553,70,"upper_zone(0.94),near_top,vol_spike"
BNB/USDT,412,674.1,0.05826843198338526,30,TIMEOUT_PROFIT,0.7989528795811526,60,"upper_zone(0.80),near_top"
BNB/USDT,442,646.1,0.0,30,TIMEOUT_LOSS,0.6136986301369872,70,"upper_zone(0.61),near_top,rsi_bear"
BNB/USDT,446,654.9,0.0,30,TIMEOUT_LOSS,0.7342465753424661,60,"upper_zone(0.73),near_top"
BNB/USDT,451,653.5,0.0,30,TIMEOUT_LOSS,0.8220472440944889,60,"upper_zone(0.82),near_top"
