symbol,entry_time,entry_price,pnl_pct,exit_candles,exit_reason,range_position,distribution_score,entry_reason
ETH/USDT,616,2040.61,-0.05000000000000004,5,SL_HIT,0.6979473981545407,60,"upper_zone(0.70),near_top"
ETH/USDT,620,2073.6,-0.05000000000000014,4,SL_HIT,0.7960569757570046,60,"upper_zone(0.80),near_top"
ETH/USDT,639,2236.16,-0.05,4,SL_HIT,0.911204114562323,70,"upper_zone(0.91),near_top,vol_spike"
ETH/USDT,643,2331.32,0.06796307671190574,30,TIMEOUT_PROFIT,0.9412113393075083,70,"upper_zone(0.94),near_top,vol_spike"
ETH/USDT,647,2327.07,0.08706689742895576,30,TIMEOUT_PROFIT,0.8192667057263571,60,"upper_zone(0.82),near_top"
ETH/USDT,651,2340.74,0.09137940565803972,30,TIMEOUT_PROFIT,0.8549948373773874,60,"upper_zone(0.85),near_top"
ETH/USDT,685,2154.06,0.05805190663212721,30,TIMEOUT_PROFIT,0.7453614114968687,60,"upper_zone(0.75),near_top"
ETH/USDT,689,2165.86,0.06686151921176811,30,TIMEOUT_PROFIT,0.812521343198634,60,"upper_zone(0.81),near_top"
ETH/USDT,693,2158.83,0.06484373248472552,26,END_OF_DATA,0.7725099601593615,60,"upper_zone(0.77),near_top"
ETH/USDT,697,2172.82,0.06884635174565777,22,END_OF_DATA,0.8463538722442068,60,"upper_zone(0.85),near_top"
BNB/USDT,222,906.4,0.0,30,TIMEOUT_LOSS,0.9372197309417025,60,"upper_zone(0.94),near_top"
BNB/USDT,226,904.8,0.0,30,TIMEOUT_LOSS,0.7510373443983399,60,"upper_zone(0.75),near_top"
BNB/USDT,230,917.7,0.014928625912607655,30,TIMEOUT_PROFIT,0.8742632612966605,60,"upper_zone(0.87),near_top"
BNB/USDT,249,907.6,-0.049999999999999996,23,SL_HIT,0.7149122807017545,60,"upper_zone(0.71),near_top"
BNB/USDT,253,914.3,0.0,30,TIMEOUT_LOSS,0.9562043795620422,70,"upper_zone(0.96),near_top,vol_spike"
BNB/USDT,257,912.1,0.0,30,TIMEOUT_LOSS,0.8729411764705888,60,"upper_zone(0.87),near_top"
BNB/USDT,268,910.0,-0.05,26,SL_HIT,0.6848739495798313,60,"upper_zone(0.68),near_top"
BNB/USDT,272,943.7,0.012080110204514242,30,TIMEOUT_PROFIT,0.8333333333333334,70,"upper_zone(0.83),near_top,vol_spike"
BNB/USDT,276,942.0,0.017728237791932108,30,TIMEOUT_PROFIT,0.7918032786885238,60,"upper_zone(0.79),near_top"
BNB/USDT,280,939.2,0.022785349233390213,30,TIMEOUT_PROFIT,0.7459016393442623,60,"upper_zone(0.75),near_top"
